day,date,pccpue
-10,2016-05-21,0.17948524649349745
-9,2016-05-22,0.22308846327042858
-8,2016-05-23,0.27725499813504106
-7,2016-05-24,0.34452791402698857
-6,2016-05-25,0.42805380709365226
-5,2016-05-26,0.5317213210467446
-4,2016-05-27,0.660328884496376
-3,2016-05-28,0.8197864214258798
-2,2016-05-29,1.0173557343637896
-1,2016-05-30,1.2619336124571998
0,2016-05-31,1.564380072967345
1,2016-06-01,1.9378909232300634
2,2016-06-02,2.398408219888382
3,2016-06-03,2.965053132182412
4,2016-06-04,3.66055187876622
5,2016-06-05,4.511605404880121
6,2016-06-06,5.5491261898514015
7,2016-06-07,6.808230974520703
8,2016-06-08,8.327838618461705
9,2016-06-09,10.149684455737216
10,2016-06-10,12.316539889348858
11,2016-06-11,14.86944058920971
12,2016-06-12,17.8438082286368
13,2016-06-13,21.26452952518401
14,2016-06-14,25.140346907196857
15,2016-06-15,29.458290490704965
16,2016-06-16,34.179248061534565
17,2016-06-17,39.23596696752744
18,2016-06-18,44.53462655401916
19,2016-06-19,49.96050939852984
20,2016-06-20,55.38732249219242
21,2016-06-21,60.688686698170926
22,2016-06-22,65.74964271602971
23,2016-06-23,70.47601653614531
24,2016-06-24,74.80014942176899
25,2016-06-25,78.6825280154491
26,2016-06-26,82.10983077802206
27,2016-06-27,85.09052385556096
28,2016-06-28,87.64930094904749
29,2016-06-29,89.8214684070843
30,2016-06-30,91.6480109234579
31,2016-07-01,93.17169713327912
32,2016-07-02,94.43429228937163
33,2016-07-03,95.47476478725247
34,2016-07-04,96.32829052996804
35,2016-07-05,97.02584375475706
36,2016-07-06,97.59418521107922
37,2016-07-07,98.0560963155596
38,2016-07-08,98.43074752532105
39,2016-07-09,98.73412386837519
40,2016-07-10,98.97945795629364
41,2016-07-11,99.17764090596448
42,2016-07-12,99.33759551404644
43,2016-07-13,99.46660515705685
44,2016-07-14,99.57059754213259
45,2016-07-15,99.65438568321505
46,2016-07-16,99.72187013931347
47,2016-07-17,99.77620721006318
48,2016-07-18,99.81994784088913
49,2016-07-19,99.85515171201746
50,2016-07-20,99.88348054258218
